miRNA	5637	SV_HUC_1	T24	UM_UC_3
hsa-miR-450b-3p	1	1	1	1
hsa-miR-497-3p	1	1	1	2.010785639
hsa-miR-541-3p	1	1	1	1
hsa-miR-541-5p	1	1	1	1
hsa-miR-548ak	1	1	1	1
hsa-miR-548aw	1	1	1	1
hsa-miR-548ay-3p	1	1	2.892387176	6.053928197
hsa-miR-548ay-5p	1	1	1	1
hsa-miR-550a-3-5p	1	1	1	1
hsa-miR-550b-2-5p	1	1	1	1
hsa-miR-580-5p	1	1	1	1
hsa-miR-602	1	1	1	1
hsa-miR-607	1	1	1	1.673857093
hsa-miR-616-5p	1	1	1	1
hsa-miR-631	1	1	1	1
hsa-miR-637	1	1	1	1
hsa-miR-642b-3p	1	1	1	1
hsa-miR-642b-5p	1	1	1	1
hsa-miR-647	1	1	1	1
hsa-miR-649	1	1	1	1
hsa-miR-656-5p	1	1	1	1
hsa-miR-657	1	1	1	1
hsa-miR-658	1	1	1	1.336928546
hsa-miR-659-3p	1	1	1	1.673857093
hsa-miR-661	1	1	1	1
hsa-miR-662	1	1	1	1
hsa-miR-663b	1	1	1	1
hsa-miR-675-3p	1	1	1	1
hsa-miR-762	1	1	1	1
hsa-miR-887-5p	1	1	1	1
hsa-miR-937-5p	1	1	1	1
hsa-miR-939-3p	1	1	1	1.336928546
hsa-miR-1179	1	1	1	2.010785639
hsa-miR-1199-3p	1	1	1	1
hsa-miR-1199-5p	1	1	1	1
hsa-miR-1204	1	1	1	1
hsa-miR-1225-3p	1	1	1	1
hsa-miR-1225-5p	1	1	1	1
hsa-miR-1226-5p	1	1	1	1
hsa-miR-1227-5p	1	1	1	1
hsa-miR-1229-5p	1	1	1	1
hsa-miR-1236-3p	1	1	1	1
hsa-miR-1236-5p	1	1	1	1
hsa-miR-1237-5p	1	1	1	1
hsa-miR-1248	1	1	1	8.749356569
hsa-miR-1250-3p	1	1	1	1
hsa-miR-1253	1	1	1	1
hsa-miR-1258	1	1	1	1
hsa-miR-1260a	1	1	1	1
hsa-miR-1268b	1	1	1	1
hsa-miR-1271-3p	1	1	1	1
hsa-miR-1273f	1	1	1	1
hsa-miR-1282	1	1	1	1
hsa-miR-1303	1	1	1	1
hsa-miR-1469	1	1	1	1
hsa-miR-1470	1	1	1	1
hsa-miR-1539	1	1	1	1
hsa-miR-1909-5p	1	1	1	1
hsa-miR-1914-3p	1	1	1	1.336928546
hsa-miR-1915-3p	1	1	1	1
hsa-miR-1915-5p	1	1	1	1
hsa-miR-2276-5p	1	1	1	1
hsa-miR-2861	1	1	1	1
hsa-miR-3064-3p	1	1	1	1
hsa-miR-3131	1	1	1	1.336928546
hsa-miR-3132	1	1	1	1
hsa-miR-3150a-3p	1	1	2.892387176	1.336928546
hsa-miR-3150a-5p	1	1	2.892387176	1.336928546
hsa-miR-3150b-3p	1	1	1	1
hsa-miR-3150b-5p	1	1	1	1
hsa-miR-3153	1	1	1	1
hsa-miR-3166	1	1	1	1
hsa-miR-3178	1	1	1	1
hsa-miR-3183	1	1	1	1
hsa-miR-3184-3p	1	1	1	1
hsa-miR-3185	1	1	1	1
hsa-miR-3186-3p	1	1	1	1
hsa-miR-3186-5p	1	1	1	1
hsa-miR-3187-5p	1	1	1	1
hsa-miR-3189-3p	1	1	1	1
hsa-miR-3189-5p	1	1	1	1
hsa-miR-3190-3p	1	1	1	1.673857093
hsa-miR-3190-5p	1	1	1	1
hsa-miR-3191-5p	1	1	1	1
hsa-miR-3192-3p	1	1	1	1
hsa-miR-3193	1	1	1	1
hsa-miR-3195	1	1	1	1
hsa-miR-3196	1	1	1	1
hsa-miR-3618	1	1	1	1
hsa-miR-3620-5p	1	1	1	1
hsa-miR-3649	1	1	1	1
hsa-miR-3650	1	1	1	1
hsa-miR-3651	1	1	1	5.043142558
hsa-miR-3663-3p	1	1	1	1
hsa-miR-3663-5p	1	1	1	1
hsa-miR-3667-3p	1	1	1	8.075499476
hsa-miR-3667-5p	1	1	1	1
hsa-miR-3675-3p	1	1	1	1
hsa-miR-3675-5p	1	1	1	1
hsa-miR-3677-3p	1	1	1	1
hsa-miR-3677-5p	1	1	1	1
hsa-miR-3678-5p	1	1	1	1
hsa-miR-3684	1	1	1	1
hsa-miR-3907	1	1	1	1
hsa-miR-3908	1	1	1	1
hsa-miR-3912-5p	1	1	1	1
hsa-miR-3928-5p	1	1	1	1
hsa-miR-3940-5p	1	1	1	1
hsa-miR-3944-3p	1	1	1	1
hsa-miR-3960	1	1	1	1
hsa-miR-4252	1	1	1	1
hsa-miR-4254	1	1	4.784774352	1
hsa-miR-4256	1	1	1	1
hsa-miR-4257	1	1	1	1
hsa-miR-4258	1	1	1	1
hsa-miR-4259	1	1	1	1
hsa-miR-4260	1	1	1	1
hsa-miR-4267	1	1	1	1
hsa-miR-4271	1	1	1	1
hsa-miR-4278	1	1	1	1
hsa-miR-4281	1	1	1	1
hsa-miR-4292	1	1	1	1
hsa-miR-4297	1	1	1	1
hsa-miR-4309	1	1	1	1
hsa-miR-4311	1	1	1	1
hsa-miR-4321	1	1	1	1
hsa-miR-4434	1	1	1	1
hsa-miR-4440	1	1	1	1
hsa-miR-4441	1	1	1	1
hsa-miR-4448	1	1	1	1
hsa-miR-4456	1	1	1	1
hsa-miR-4458	1	1	1	1
hsa-miR-4477a	1	1	1	1
hsa-miR-4477b	1	1	1	1
hsa-miR-4479	1	1	2.892387176	2.347714186
hsa-miR-4482-5p	1	1	4.784774352	3.695428372
hsa-miR-4484	1	1	1	1
hsa-miR-4487	1	1	1	1
hsa-miR-4489	1	1	1	1
hsa-miR-4497	1	1	1	1
hsa-miR-4499	1	1	1	1
hsa-miR-4505	1	1	1	1
hsa-miR-4507	1	1	1	1
hsa-miR-4512	1	1	1	1
hsa-miR-4514	1	1	1	1
hsa-miR-4516	1	1	1	1
hsa-miR-4530	1	1	1	1
hsa-miR-4534	1	1	1	1
hsa-miR-4537	1	1	1	1
hsa-miR-4538	1	1	1	1
hsa-miR-4539	1	1	1	1
hsa-miR-4633-3p	1	1	1	1
hsa-miR-4633-5p	1	1	1	1
hsa-miR-4635	1	1	1	1
hsa-miR-4638-3p	1	1	1	1.673857093
hsa-miR-4638-5p	1	1	1	1.673857093
hsa-miR-4641	1	1	1	1
hsa-miR-4646-3p	1	1	1	1
hsa-miR-4646-5p	1	1	1	1
hsa-miR-4647	1	1	1	1
hsa-miR-4648	1	1	1	1
hsa-miR-4649-3p	1	1	1	1
hsa-miR-4649-5p	1	1	1	1
hsa-miR-4653-3p	1	1	1	1.336928546
hsa-miR-4653-5p	1	1	1	1.673857093
hsa-miR-4655-3p	1	1	1	1
hsa-miR-4655-5p	1	1	1	1
hsa-miR-4656	1	1	1	1
hsa-miR-4658	1	1	1	1
hsa-miR-4664-5p	1	1	1	1
hsa-miR-4666a-3p	1	1	1	1
hsa-miR-4666a-5p	1	1	1	1
hsa-miR-4667-3p	1	1	1	2.347714186
hsa-miR-4673	1	1	1	1
hsa-miR-4678	1	1	1	1
hsa-miR-4688	1	1	1	1
hsa-miR-4690-5p	1	1	1	1
hsa-miR-4691-3p	1	1	1	1
hsa-miR-4691-5p	1	1	1	1
hsa-miR-4692	1	1	1	1
hsa-miR-4710	1	1	1	1
hsa-miR-4712-3p	1	1	1	1
hsa-miR-4712-5p	1	1	1	1
hsa-miR-4721	1	1	1	1
hsa-miR-4722-3p	1	1	1	1
hsa-miR-4722-5p	1	1	1	1
hsa-miR-4723-3p	1	1	1	1.673857093
hsa-miR-4723-5p	1	1	1	1
hsa-miR-4727-5p	1	1	1	1
hsa-miR-4730	1	1	1	1
hsa-miR-4733-3p	1	1	2.892387176	1
hsa-miR-4733-5p	1	1	1	1.336928546
hsa-miR-4738-3p	1	1	1	1
hsa-miR-4738-5p	1	1	1	1
hsa-miR-4740-3p	1	1	1	1
hsa-miR-4740-5p	1	1	1	1
hsa-miR-4745-3p	1	1	1	1
hsa-miR-4749-3p	1	1	1	2.347714186
hsa-miR-4750-3p	1	1	1	1
hsa-miR-4751	1	1	1	1
hsa-miR-4757-3p	1	1	1	1
hsa-miR-4757-5p	1	1	1	2.010785639
hsa-miR-4758-3p	1	1	1	1.336928546
hsa-miR-4758-5p	1	1	1	1
hsa-miR-4779	1	1	1	1
hsa-miR-4781-5p	1	1	1	1
hsa-miR-4783-3p	1	1	1	1
hsa-miR-4783-5p	1	1	1	1
hsa-miR-4784	1	1	2.892387176	1
