"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"39-14",-0.052975215540996,0.126363797710924,-0.00652420487257546,-0.0324799028192003,-0.0194759718096735,-0.0123162731902483,0.0346402655197666,0.00305067257919205,-0.00590859908218419,0.00343370127134193,-0.0039877597612194,-0.00558848566305897,0.00201382195757109,-0.00914129233583285
"4-207387S",-0.0595160352964606,0.0112316615507366,-0.00685387216900286,0.0138593537721169,-0.0152465681177715,-0.0283884577783109,0.00584012224932675,-0.0170555980830494,-0.00351988754343225,-0.00437721402908281,0.0145826501320844,-0.00517083244559839,0.00178153151542128,0.00350245376579995
"40-15",0.019503288907858,0.351428143000879,-0.020738497115542,0.019781858867427,-0.0091653990029453,-0.0299363111675931,0.0144610800562006,0.0157353772424168,0.00413174081546536,0.0134454559088656,-0.0102061433809228,0.000173059021077533,-0.000515417735623383,0.00233833412211553
"42-17",0.00888249236269505,-0.068097975112141,0.0761795231013654,-0.131651342874068,0.0246586030688261,0.00370695198268963,-0.0131832303291736,-0.00550154556638233,-0.00788954929821867,-0.00761327095343137,-0.00613878069412461,0.00218439245665547,0.00703890291675208,-0.000757946825882976
"43-18",-0.0371205313445269,0.0323439749912133,-0.0392994220899278,-0.0182054502277621,0.0122820695644385,0.0107771933690884,-0.0177178629961611,-0.00665286612278028,0.0145963526795164,-0.010353052290062,0.00042864216866765,-0.00132473217035439,-6.68613687736858e-05,-0.00323668174694112
"44-21",-0.0926315484512334,-0.00015307164414262,-0.0234749802417439,-0.0290173290180512,-0.0033629785207631,-0.00423170124549136,-0.00323352613629031,0.0147692677679167,-0.0177871422695246,-0.0175501870689186,0.0135066814288055,0.00601335092469889,0.00107334339516447,-0.000841511671126627
"45-22",0.0643145348942754,0.103503270004848,0.00431386249633962,0.0408597598415709,0.0423706781516699,-0.00828345702261299,-0.0448595885927282,0.0084621856297888,-0.00843294148066178,0.0152098475812092,-0.00888060593938846,-0.00259929095154364,0.0188311112240716,0.00330781300467735
"47-25",-0.0661048844851037,0.0399304511624413,-0.0430841357310489,-0.0222154454540334,0.0241731479854554,0.00405986890013976,-0.0241774479895382,0.00539642199002725,0.00700859658117509,-0.0127770067213638,0.00764202756502026,-0.0077983634862556,-0.0107766586620411,0.00175175186205387
"48-26",0.0209267890308451,0.032029183424466,0.018949441174311,0.0443914310439975,-0.0538202701721086,0.0420602021191246,0.00637067601820249,-0.00927823908840471,0.00239826023289256,-0.0195234816495891,0.00160763122080276,-0.0098284164172552,-0.00215314038513017,0.00105031974141707
"49-27",-0.00250371474408347,-0.0203343223966704,0.0544768527381446,-0.0847555808684636,0.0245204952983192,0.0184637967507019,-0.00701852505785519,-0.00311848893233897,0.0330389460358114,0.0363936762995423,0.0219731490235631,0.00266186167611047,-0.00413441459923973,-0.00312707119895982
"5-207296S",-0.147084522974421,-0.0897936293647501,0.0948750169141021,0.058878498803636,-0.0337247002221119,-0.0579004609917622,0.00255464646939697,0.00567718782058685,0.0195611610823047,-0.00476826922384783,-0.00674360006720176,0.00504685323779838,0.00521968334877855,-0.00380640359097864
"51-29",-0.0442273965606553,0.0537763521834079,0.0555074133509906,-0.0184371912587491,0.0536405889176567,0.0240391341639179,-0.0168980013916165,0.023784344450825,0.00900900256418421,-0.00886448342156737,-0.0177853318244997,-0.00312263337869218,-0.00157534541002228,0.00528333158091156
"52-30",-0.0258846833942493,0.134676578885011,-0.00174870796758447,0.0238740641497846,0.0419291692794151,0.000724112831032419,-0.00562502103225489,0.00388346592397538,-0.000942821166317716,-0.0228837048447792,0.0098267603519732,-0.00115712664599827,0.010540880584976,-0.0126790112589178
"6-207805S",0.180302005276308,-0.0820413082665841,-0.0219893227206552,-0.0153836948666715,-0.0482147039047995,0.0337501163974056,-0.0263896097396371,-0.000878963097735798,-0.0361234193803775,0.00700179286996369,-0.00477489216779551,-0.00822611147727816,-0.00339895745166973,0.00155411786835844
"7-207254S",-0.0563252956811011,0.0581943747880589,0.0535269141772557,-0.0585434041732696,0.0355152774220633,-0.0196854961680778,0.0369598603478274,0.0225486386151731,-0.020389352692276,-0.0164522061573979,-0.0139754282769151,-0.00174383033513013,-0.0148222922736998,0.0071389110295498
"9-207703S",0.303048452757543,-0.126707613493093,-0.107463512844574,0.00823999948662351,0.0556835194956861,-0.0396364604148213,-0.0131445120416878,0.0300190694557927,-0.0017479254376616,0.00457054659703122,0.000162870066517621,0.0203667713798673,-0.0102863711252299,-0.00265507800361413
