bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-37-5819-10A	TCGA-37-5819-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-43-5668-01A	TCGA-43-5668-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-43-5668-01A	TCGA-43-5668-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-43-5668-01A	TCGA-43-5668-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-43-5668-01A	TCGA-43-5668-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-43-5668-10A	TCGA-43-5668-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-43-5668-10A	TCGA-43-5668-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-43-5668-11A	TCGA-43-5668-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-43-5668-11A	TCGA-43-5668-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-56-5897-01A	TCGA-56-5897-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-56-5897-01A	TCGA-56-5897-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-56-5897-01A	TCGA-56-5897-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-56-5897-01A	TCGA-56-5897-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-56-5897-10A	TCGA-56-5897-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-56-5897-10A	TCGA-56-5897-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-56-5898-01A	TCGA-56-5898-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-56-5898-01A	TCGA-56-5898-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-56-5898-01A	TCGA-56-5898-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-56-5898-01A	TCGA-56-5898-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-56-5898-10A	TCGA-56-5898-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-56-5898-10A	TCGA-56-5898-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-4593-01A	TCGA-22-4593-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-4593-01A	TCGA-22-4593-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-22-4593-01A	TCGA-22-4593-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-4593-01A	TCGA-22-4593-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-22-4593-11A	TCGA-22-4593-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-4593-11A	TCGA-22-4593-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
