mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
?|404770	0.120677173417379	0.0350313504182271	0.0856458229991515	0.0954440123491527	0.142554999093588	0.596665699539489	2.02075387632154e-39	6.51985821175954e-13
?|441362	0.0496181996159141	0.045708270836388	0.00390992877952612	0.922531950300255	0.941096267098009	0.376800378594516	1.53467332562721e-40	3.78681134767786e-12
?|442388	0.0613798453119208	0.0176000607185872	0.0437797845933335	0.0667967122977718	0.105040081202938	0.16045756404131	9.30500750597449e-39	6.56112453974396e-13
?|553137	61.3249162033176	5.76253882636169	55.5623773769559	0.00166859543137336	0.00454650733928685	0.000747709007836536	6.9533391110857e-40	1.83663668645096e-06
?|57714	1545.31232185265	887.715539793568	657.596782059086	1.38587882025956e-07	9.09347333293356e-07	3.60611181433496e-06	1.52991149164834e-22	0.00225531464708522
?|645851	14.8869862405284	7.18500771745023	7.70197852307818	5.10875842081181e-11	5.42617274380172e-10	1.44422723800251e-07	7.92192628889139e-21	0.00369333484281892
?|652919	39.1738305541548	42.8884188681493	-3.71458831399447	0.684876640545121	0.74178108815319	0.843354404482696	1.06042281819791e-23	9.61797352508453e-06
?|653553	15.0981145678599	9.90574376221046	5.19237080564948	0.0556761379761426	0.0899289425527641	0.729995594976305	5.86177725641533e-34	2.15401365110968e-06
?|728045	0.00481894987250597	0.000103906246575407	0.00471504362593056	0.183825220478047	0.249792547596451	0.869913603740809	4.42263911373261e-41	0.138958230128871
?|728603	0.104187204165095	0.0175424777477719	0.0866447264173228	0.00179183081255555	0.00483799032253787	0.0686982788876999	1.92790432810078e-37	6.56531572708102e-13
?|728788	1.38440433725107	0.979705936934836	0.404698400316231	0.152673759939907	0.213281870011935	0.7350888175835	3.649638080011e-31	7.40495349831079e-07
?|729884	95.4387790802296	1871.05258689314	-1775.61380781291	0.026012770631724	0.0473926873582328	0.41133416260324	1.16429156762518e-39	6.15250031027846e-10
?|8225	491.018915186383	504.10877816108	-13.089862974698	0.512522338001905	0.587152229242097	0.149081169739466	4.75055878008325e-15	0.819563008692072
?|90288	10.7330343855623	5.10188527844598	5.63114910711636	2.17731507915993e-06	1.16991509788622e-05	0.0549588724382538	4.78583725613022e-34	0.00843226992528613
A1BG|1	51.5600136751896	76.3343051233002	-24.7742914481106	0.0242902565133202	0.0448030955417282	0.000711796687840231	3.88863056244824e-34	6.76398329075937e-05
A1CF|29974	120.572233184702	207.300300064183	-86.7280668794813	0.212120670159274	0.281661458998839	0.0791852720371202	2.35056004855368e-28	1.24204925633614e-08
A2BP1|54715	2.61116906704783	1.24842267458447	1.36274639246337	0.0103260055073581	0.0216816546401686	0.861397185966269	3.97842694970608e-37	3.37682295478804e-06
A2LD1|87769	156.637816025626	136.907050609374	19.7307654162522	0.0786076257232326	0.120836565118575	0.481558986346915	3.34803360136959e-18	0.101276319645956
