	PANC754	AFF3	ARID4B	CACNA2D3	CHMP3	CIR1	COPS7B	DIS3L2	DNAH12	DOCK7	DRAM1	EIF4G3	EMC3	EXPH5	FAM24B	FBXO16	FRMD4B	FSTL1	GIGYF2	GPR89A	HPCAL4	HRH1	IFT172	INO80D	ITGA6	KCNJ13	KIAA1324	KPNA4	LMOD1	LRRFIP1	MAFK	MITD1	MTMR8	OSBPL9	PLEKHG5	PMVK	PPIE	PTPN4	RAD54L2	RNF103-CHMP3	RPRD2	RYR2	SDHB	SMARCA2	SMIM12	SNX27	SRSF11	SSB	SYTL1	THRB	TMC5	TMCC2
DRAM1	0.055741952851923	-0.0481489096178999	-0.0319285997904547	-0.0678000941323087	0.0465699564498813	0.0265683463402631	-0.158284058497574	-0.111305585579391	0.00461275068644554	-0.119750747579402	1	-0.158151491863917	-0.0136908877022277	0.112828718401577	0.103287246280416	-0.0402072688644563	0.214263654817883	0.315095347953219	-0.0320077339200653	-0.0990827031939339	-0.0610808123619797	0.287748813022757	-0.0856883724435692	0.0355078784334041	0.0763568718107024	0.0195511901397769	-0.0796471341778279	-0.0383683585677294	-0.00957378009165214	0.249270296173332	0.15781623447123	0.178955256806213	0.142744682884269	0.190916060167218	-0.0745904939810178	-0.152785591524462	-0.0340015015814029	-0.0770185893692628	-0.190717481619915	-0.0954278497006925	-0.133406343511416	-0.0890923223307535	0.00156434623763188	-0.0551900141265461	0.126460884678235	-0.00671698547800409	-0.0622623414995421	-0.0956457503514831	0.0415811899564691	-0.118439213435781	0.0875601623685676	-0.179854624252006
EIF4G3	0.0446126965323972	0.118201038763506	0.375661494792015	0.127949828139631	0.111946042525333	0.0149956352163843	-0.197884768644771	-0.118496491938155	0.0708020561857645	0.362143487215182	-0.158151491863917	1	-0.209874988989284	-0.0201345614996972	-0.0454256537151251	0.0105455491935185	0.151004576692354	0.0966957778742396	0.384811753959773	-0.232500366391332	0.248848384587463	0.0970630841157916	0.0929199191671075	0.366641147264771	0.0298845653772314	0.161667478745831	0.000563430671246962	0.093128803812729	0.0731382956383645	0.130451096987731	-0.0209278832966075	-0.189318734141666	-0.00251153580185492	0.145232966622433	0.132471498929193	-0.307639117356758	-0.222033286949279	0.363175613678179	0.230981459959123	0.0452039245311462	0.267482635411213	0.198581000037091	-0.211788353465838	0.298274938393046	-0.284609541504339	0.257436458198269	0.289702875824883	0.0804626116797606	-0.129939579784717	0.0763973116145032	-0.0975274309829167	0.138873022977947
EMC3	-0.047771700847256	0.0288540828418985	-0.223759897627365	-0.139087346805951	-0.0972395786812866	0.108675958939994	-0.0212856404582389	0.0108528955621799	-0.04376339548595	-0.26544634950037	-0.0136908877022277	-0.209874988989284	1	-0.164343681150872	-0.0595678942206328	0.11104741634525	-0.0794781708353892	-0.127673592288564	-0.244081590328875	0.214545109171829	-0.134353116192088	-0.147851225077731	-0.158990935549808	-0.377583014354607	-0.264825712836378	-0.0819396710908852	-0.0417238929517397	-0.159095299721703	-0.0157359970493141	-0.000690944065723336	-0.156531267310362	-0.0375465345200309	-0.127146114852664	0.0535444565518618	-0.381173283950118	0.440795670283283	0.245351953833563	-0.212154656768533	-0.0869229882170418	-0.162580399951045	-0.224976983211607	-0.207220408885719	0.357376086214347	-0.045474573311427	0.358568139849564	-0.112768484923269	-0.272920856254199	-0.0254284632824061	0.00987868993062951	0.140965920570494	-0.0122723769960619	-0.210880182011035
EXPH5	0.0665282058797948	-0.180572382362521	0.262086658822255	-0.0934862850656025	0.258542945835202	-0.0546570922135637	-0.141654021816557	-0.0832009611738356	0.161965581726804	0.0231022595117952	0.112828718401577	-0.0201345614996972	-0.164343681150872	1	0.0236489387779087	0.0714571987807782	0.230796695843724	-0.0132628755303684	0.129200425763503	-0.0025024692686341	-0.143680825512223	0.154104148171976	0.0628600487802836	0.24665303220125	0.345115581550022	0.0785282013372402	0.330659608607249	0.244344205762609	0.0488807269325837	0.252410358466895	0.088439223793623	0.0162171050332817	0.106555857883734	0.0236832937426616	0.166540131164624	-0.26879261857811	-0.170130081981285	0.271061356907806	0.0766178572408294	0.00252446580393086	0.153462725921063	0.0750854561625805	-0.0691211422011215	-0.0456805588369938	-0.169918319650496	-0.0045060769333117	0.154987866051345	-0.0119584229231191	0.322834440675172	0.159927043245348	0.503797204893216	-0.314460318403713
FAM24B	0.0452123010673138	-0.131893230402628	0.0184954405724841	0.0714579076841216	0.0655690597581622	0.153213443916707	0.0250976456040569	-0.0813932224513107	-0.0766330506672787	-0.124241024983902	0.103287246280416	-0.0454256537151251	-0.0595678942206328	0.0236489387779087	1	-0.101841306132033	-0.0389507893785841	-0.00538519692850956	-0.0483149844291324	-0.0270796311411481	0.105274633643736	0.0535269796816853	-0.0577636076900875	0.0421708651042132	0.0419893341625533	0.0237233830311134	-0.0967500448997719	0.0654528150879684	-0.0296365974814444	0.0364529195834724	0.118575486917854	0.181213395420806	0.049826707303119	0.00623054374242422	0.0624487707793756	-0.0503697607913628	0.0637857460297708	-0.012923126219682	-0.0512082448929275	0.0835128952306927	-0.081735964849084	0.0372034879336315	0.0299371822718655	-0.0309283695792118	0.0496779958949227	-0.121851874639482	0.100073844825641	0.0863283687773871	0.0561437834537625	0.0390467698648933	0.0126927681668498	0.0473843893277946
FBXO16	0.089624806314248	0.2169868739856	0.149271849847358	0.0333637203283099	0.0403415451486405	0.121957931600717	0.150549330203404	0.195473675811947	0.25671745768972	-0.0338889489362534	-0.0402072688644563	0.0105455491935185	0.11104741634525	0.0714571987807782	-0.101841306132033	1	0.0681418009223788	-0.0343937448421221	0.140548104815558	0.13711323492423	0.0776438188413427	-0.101998808037607	0.336177523277309	0.0587339315392616	-0.271852356800163	0.205106866502754	0.285348669109854	-0.254350208898669	0.0800648782553369	-0.0537827816982788	-0.230513947336934	-0.0303198449594265	0.10585460867673	0.161969572325588	-0.0981941694321807	-0.0053252628589724	0.0445004191494182	0.189981162066414	-0.0203932864807734	-0.0549818683327499	0.199815887982841	0.124855688596137	-0.0761346446566024	-0.0353036361927743	-0.168144467615299	0.133155736954084	0.0453318247090423	0.069191877820724	0.0604402891937115	0.00161226751677869	0.150052128183515	-0.0198653953294772
FRMD4B	0.0613034070609168	-0.0421347816811285	0.265701252682242	0.127484502771511	0.196621752102515	0.0457404034881238	-0.198084663104521	-0.0467644289253709	0.0827505453085859	0.0202974790345543	0.214263654817883	0.151004576692354	-0.0794781708353892	0.230796695843724	-0.0389507893785841	0.0681418009223788	1	0.20070590557179	0.152757036768644	-0.172545289151365	0.0355815574676692	0.251240935485101	0.00936439965981631	0.248813405208107	0.243303957577257	0.179670290819043	0.0266983669515035	0.0841741502054776	0.0355591601306626	0.353998033298544	0.10157647134071	0.0595882560934146	0.0383868655080138	0.265321194842498	0.0983245114685155	-0.161301580232871	-0.106580927558636	0.229163280081746	-0.019588019984652	-0.0448080360056895	0.228433573073699	0.0613144606539584	-0.150409318248294	0.0667408054176676	-0.129585633486176	-0.00757914991856066	0.165717643822768	-0.0653185303323494	0.225053172579376	0.109894040100963	0.0705947315489079	-0.119952038357572
FSTL1	0.0140273557784426	0.192293964391567	0.0853772444246822	0.0816789362539558	0.198048483451486	-0.044933000823907	-0.198574401921927	-0.171513981839478	-0.0166499282555758	0.200811799835624	0.315095347953219	0.0966957778742396	-0.127673592288564	-0.0132628755303684	-0.00538519692850956	-0.0343937448421221	0.20070590557179	1	0.113400065942099	-0.0797659954528498	-0.0232047271504152	0.275663572758057	-0.0559412867992601	0.0676809071529711	0.0902471413233638	0.052403816099121	0.100808961088528	0.0851697993551859	0.403264823144611	0.318028825868504	0.131553049758962	-0.0526130665288311	0.0593231231097203	0.164287047831432	0.00687985523971258	-0.242170881169754	-0.0622339430602148	-0.0894608932286113	-0.0956420574624389	-0.079427761159643	-0.0827598135911305	0.147413749434175	-0.228577930308026	0.17326206000235	-0.11321069137899	-0.0431785091716088	0.0112418152105331	0.00022034156294978	0.0643875332166565	0.0549950592100645	0.0812580655920753	-0.0935874566675701
GIGYF2	0.148489059391737	0.35872408024769	0.416040994749935	-0.00629623605602339	0.316017527185921	0.00308484748062811	-0.0572832281160096	0.178817864651845	0.0730496131036484	0.344327480797899	-0.0320077339200653	0.384811753959773	-0.244081590328875	0.129200425763503	-0.0483149844291324	0.140548104815558	0.152757036768644	0.113400065942099	1	-0.182293448493413	0.104179930179937	-0.0934664976865065	0.170204866679056	0.523278984022515	0.0576432748761189	0.352434765005356	0.177504336614647	-0.0196774617083602	0.154631906713241	0.298425731431004	-0.0145937930107658	-0.308889544032161	0.0712408991425389	0.155963346410284	-0.154893770235882	-0.252738077230449	-0.376825136561697	0.420248861118286	0.25738375651991	-0.00729746916867628	0.435995840017621	0.162801967059317	-0.392002178824568	0.383433882443751	-0.458453673522163	0.362611754966811	0.0762820097807766	-0.0162605049905624	-0.12980459596232	0.126702537253658	0.0727150818611495	-0.0128262531488869
GPR89A	-0.0881327363280567	0.117733912695499	0.0949002138803723	-0.171559441277727	-0.18617710695055	0.060085229960054	0.194833125148328	0.118030444522909	0.131934897296342	-0.119102161888075	-0.0990827031939339	-0.232500366391332	0.214545109171829	-0.0025024692686341	-0.0270796311411481	0.13711323492423	-0.172545289151365	-0.0797659954528498	-0.182293448493413	1	-0.289609055594274	-0.278266800235652	0.086024074780425	-0.0707343030434859	-0.188550981467487	-0.0436353620596258	0.201296003107673	0.034705451080043	-0.107155886204734	-0.0111730301475866	-0.240985914659171	0.210747184309162	-0.0600156914312328	0.0268275721029765	-0.152947132315764	0.252115921076734	0.109626098831835	-0.143208974776296	-0.00180161109981197	-0.0739039404111998	0.130064323445262	-0.131288354150503	0.15985841793291	-0.249606522888266	0.0708990505738673	0.13302877054813	0.107853821363012	0.0775728363961435	0.0864038456697382	0.0285777685111787	0.141339825269367	-0.217858784222139
HPCAL4	0.0467719833055674	0.109772957855783	0.120410029603814	0.37171731541113	0.0605318135517773	0.138363884747146	-0.0245341499238879	-0.148826494627034	0.0629307966278154	0.11832216922992	-0.0610808123619797	0.248848384587463	-0.134353116192088	-0.143680825512223	0.105274633643736	0.0776438188413427	0.0355815574676692	-0.0232047271504152	0.104179930179937	-0.289609055594274	1	0.150493995774829	0.0356491784496062	0.0527044481463852	-0.164701803880288	0.128698698955105	-0.128241926642442	-0.00868254250435831	0.112761246917859	-0.288372131699405	-0.135712182430463	-0.141671134276851	-0.0168745820450248	-0.0836702394567211	0.0764490914222309	-0.0598945015643713	0.0149680581866369	0.238494112717395	0.0418958689989516	0.118040796579663	0.0419251768107668	0.260359701431144	-0.294480435933871	0.145200910767725	-0.130162200592826	0.150597229022212	0.059404504412135	0.0429148252943927	-0.201337110283633	0.0275050166209385	-0.287411599319434	0.537397614033078
HRH1	-0.0104647821995733	-0.265526544354339	-0.0538815700981116	0.142638862409144	0.268281275786204	-0.0513998819802461	-0.137100673369924	-0.227638783392873	-0.0309022971137252	0.115427590819237	0.287748813022757	0.0970630841157916	-0.147851225077731	0.154104148171976	0.0535269796816853	-0.101998808037607	0.251240935485101	0.275663572758057	-0.0934664976865065	-0.278266800235652	0.150493995774829	1	0.016305335842456	0.000997378067174576	0.260697477609573	-0.0449063100134187	-0.0874559863581094	0.157268993202906	0.0261824995375143	0.182253080536222	0.149799725165557	0.0587185807778237	0.0703590093302675	-0.163359314822126	0.334455782877335	-0.220864225250456	-0.0467646186992372	-0.00520562743412334	-0.136335093761402	0.0691100685234793	-0.111250488753717	0.0581037088608423	-0.120735679472428	-0.0870293498824091	0.0666759939141604	-0.115768539443001	-0.0251526064889166	-0.0488008724303715	-0.0491290871175727	-0.0255487155344906	0.0314422320981415	0.0308942754912043
IFT172	0.101313630937446	0.0962695927687749	0.0488298134250793	0.0835050277732165	-0.00316143667189579	0.024698863533462	0.243107018360977	0.263443319008311	0.298813637552604	0.0422433767890023	-0.0856883724435692	0.0929199191671075	-0.158990935549808	0.0628600487802836	-0.0577636076900875	0.336177523277309	0.00936439965981631	-0.0559412867992601	0.170204866679056	0.086024074780425	0.0356491784496062	0.016305335842456	1	0.177382445567687	-0.174120058815893	0.216268439925378	0.214256536724523	-0.213275499829939	-0.00471732771064669	-0.139717682279272	-0.168027124930456	0.0503491054724605	0.189949906237785	0.0451761297070872	0.119003002105928	-0.086040265260263	0.0345266445632852	0.134968420844894	0.114589379684144	-0.0142142073023499	0.295964358056573	0.0767508984724171	-0.180894305676404	0.0327134041800712	-0.22075522566537	0.179196555618026	0.166242233596517	-0.0313647216408339	-0.0164529305961432	-0.153513839398699	0.109851858221757	0.129119948666637
INO80D	0.166925813887198	0.124166083667973	0.556716858415573	0.00473375731612235	0.133377343544014	0.132405372009547	-0.10369967412394	0.057691743263447	0.173058202966433	0.235699082029338	0.0355078784334041	0.366641147264771	-0.377583014354607	0.24665303220125	0.0421708651042132	0.0587339315392616	0.248813405208107	0.0676809071529711	0.523278984022515	-0.0707343030434859	0.0527044481463852	0.000997378067174576	0.177382445567687	1	0.18169061117149	0.343894189292452	0.126679928802046	0.12934585082604	0.0923344913564609	0.318192616453873	0.0313927589598571	0.0702701256614309	0.167240422908523	0.220272998572609	0.0472808360663651	-0.436070968849989	-0.375083154556629	0.510596077887354	0.28845321320915	0.0208701095427303	0.412353699925162	0.211616903426375	-0.406315477211898	0.224846288248703	-0.455426502535567	0.333593065212451	0.432563812244906	0.06863773301858	0.00846508026253615	0.0599343879556101	0.127101208848386	-0.0787132164735888
ITGA6	-0.0123110100124832	-0.348873480155374	-0.00100436874353497	-0.0474175143962683	0.206950184634863	-0.118161196268412	-0.251387979701823	-0.150538903470726	-0.199649702930038	0.142624716873629	0.0763568718107024	0.0298845653772314	-0.264825712836378	0.345115581550022	0.0419893341625533	-0.271852356800163	0.243303957577257	0.0902471413233638	0.0576432748761189	-0.188550981467487	-0.164701803880288	0.260697477609573	-0.174120058815893	0.18169061117149	1	-0.0844713255094336	0.025643787662546	0.397855854876743	-0.0736081068042564	0.31626666235213	0.221944486608909	-0.0197780197227802	0.0287857857902926	-0.0859654160492643	0.285510985330026	-0.294664418056573	-0.177577487743027	0.0783139101018814	-0.0347231663908103	0.0341488916728477	-0.0879482922764872	-0.00208441207876524	0.0546143895588828	-0.0194548303812259	0.0465045170394516	-0.172395335915208	-0.0358871391499221	0.0187687278314294	0.178792287686345	-0.00875873445910735	0.158283594055139	-0.177925198156587
KCNJ13	0.120420279716097	0.117561369143099	0.182566384955283	0.00252726196516397	0.133403141610113	-0.0122145644836868	-0.00688692167321332	0.126629666860691	0.125648853538576	0.111850928544763	0.0195511901397769	0.161667478745831	-0.0819396710908852	0.0785282013372402	0.0237233830311134	0.205106866502754	0.179670290819043	0.052403816099121	0.352434765005356	-0.0436353620596258	0.128698698955105	-0.0449063100134187	0.216268439925378	0.343894189292452	-0.0844713255094336	1	-0.0356460228777147	-0.0424263154923155	0.0475520408469253	0.0746051093278715	-0.0369955915532432	-0.0418883351062585	0.0923217813363082	0.240170251923071	-0.0957286517430775	-0.172232734776242	-0.142924502724157	0.279607427849961	0.130855590296095	0.0347914023035469	0.261729948080203	0.113573412171776	-0.196109655367697	0.0820866270234343	-0.188466243510861	0.16011114066938	0.135230943906145	-0.0913558097248978	-0.0527672972287067	0.0537599469238788	-0.00201178863578757	0.0843076040365582
KIAA1324	0.0447557719290673	0.268955638824466	0.297228316909021	-0.0520395823514321	0.247414088990356	0.00569838630506544	0.0184897076141163	0.0277329303761385	0.245506660324387	0.0707957513363376	-0.0796471341778279	0.000563430671246962	-0.0417238929517397	0.330659608607249	-0.0967500448997719	0.285348669109854	0.0266983669515035	0.100808961088528	0.177504336614647	0.201296003107673	-0.128241926642442	-0.0874559863581094	0.214256536724523	0.126679928802046	0.025643787662546	-0.0356460228777147	1	-0.00792502247132717	0.255491716176687	0.20962177901735	-0.10855293461896	-0.0958531385398332	0.0785405052255779	-0.074336704151577	0.0373837893529379	-0.143828521690805	-0.0923538990236453	0.115733678594395	0.0360370370163272	-0.0574980002298959	0.156956197673539	0.194649664918938	-0.195391051006677	0.116647017710543	-0.310825506560912	0.0271086813092689	0.110708120001299	0.0589495574788273	0.350486627455273	0.0726020422195649	0.599594144294821	-0.29459628625523
KPNA4	-0.0718499322919137	-0.277253725278333	0.184536774647989	-0.000673878073023682	0.224945167972534	-0.0597844481306192	-0.147477427979307	-0.332722544789144	-0.0677885395003593	0.23515318684058	-0.0383683585677294	0.093128803812729	-0.159095299721703	0.244344205762609	0.0654528150879684	-0.254350208898669	0.0841741502054776	0.0851697993551859	-0.0196774617083602	0.034705451080043	-0.00868254250435831	0.157268993202906	-0.213275499829939	0.12934585082604	0.397855854876743	-0.0424263154923155	-0.00792502247132717	1	-0.137013347538132	0.179393469886383	-0.046171789080591	0.0662919064372473	-0.0299032978709737	-0.0266467172956976	0.116870554018824	-0.370854534575637	-0.177345778048638	0.142979340300405	0.0431265465194508	0.1310248879222	0.0729128859215332	0.00440481180095145	0.0650091277368402	-0.0946924914619039	0.0526064712096621	0.00117695496116714	0.135720940177867	0.256342469822956	0.1096688986833	0.0683225997804495	0.10080436640633	-0.0207667844459362
