cp	tt	nt	np
NA	0.78688045606334	1	NA	0.00333333333333333
NA	0.613756613756614	0.666666666666667	NA	0.0231481481481482
NA	0.849637511758724	1	0.0013834793898085	0.00277777777777778
NA	0.526011488511488	1	0.0908897403150274	0.030952380952381
NA	0.775396825396825	1	0.090378421900161	0.0208333333333333
NA	0.613333333333333	1	0.0248199588477366	NA
NA	0.910353535353535	1	0.00234741784037559	NA
NA	0.711111111111111	0.638888888888889	0.00416666666666667	NA
NA	0.578880995547662	0.656666666666667	0.0774087430361998	0.0982407407407407
NA	0.386292307194369	0.542012362637363	0.00446837890085612	0.00222634508348794
NA	0.734722222222222	1	0.0208333333333333	0.0277777777777778
NA	1	1	0.0228602383531961	NA
NA	0.764814814814815	1	NA	0.03125
NA	0.802222222222222	0.663098290598291	NA	0.00740740740740741
NA	0.73375	0.802619047619048	NA	0.00606060606060606
NA	NA	1	NA	0.025
NA	0.933492063492063	1	0.00595238095238095	0.0277777777777778
NA	1	0.588807526738561	NA	0.0555555555555556
NA	1	1	0.100431212711914	0.00833333333333333
NA	0.530448717948718	0.508333333333334	0.0573626373626374	0.00625
NA	1	1	0.0043859649122807	NA
NA	0.554464113082248	1	NA	0.00817460317460317
NA	0.555304232804233	1	0.0327593312557733	0.0349206349206349
NA	0.827664399092971	0.614718614718615	0.00555555555555556	0.0111111111111111
NA	0.622448979591837	0.513888888888889	0.0715221623240489	0.0555555555555556
NA	0.784567901234568	1	0.0104166666666667	0.0416666666666667
NA	0.815277777777778	0.609259259259259	NA	0.0277777777777778
NA	0.435527544351074	0.585739750445633	0.0622222222222222	NA
NA	0.166666666666667	1	0.0613247863247863	NA
NA	0.683240568954855	0.513888888888889	0.00320512820512821	NA
NA	1	1	0.0138888888888889	NA
NA	0.723703703703704	1	NA	0.0133333333333333
NA	0.449589430177666	0.666666666666667	0.000823045267489712	NA
NA	0.918518518518519	0.613425925925926	NA	0.0416666666666667
NA	0.648148148148148	1	0.0605306452054417	NA
NA	0.69140625	1	NA	0.00625
NA	0.671690821256039	1	0.00205128205128205	0.00392156862745098
NA	0.576736111111111	0.552777777777778	0.0236542443064182	0.0166666666666667
NA	0.560235760971055	0.638888888888889	0.0529025372775372	NA
NA	0.640873015873016	1	0.166666666666667	0.025
NA	0.642800532800533	0.990476190476191	0.00896321831484887	0.0281721716061463
NA	0.329246031746032	1	0.00641025641025641	NA
NA	1	1	0.0239735859890899	0.0208333333333333
NA	0.753125	1	0.0232475143744243	0.0541666666666667
NA	0.701838867831515	1	0.00114942528735632	0.00555555555555555
NA	0.754861111111111	0.588888888888889	0.00379746835443038	NA
NA	0.661129676041957	0.666666666666667	NA	0.0685714285714286
NA	0.756172839506173	0.958333333333333	0.0225468975468975	NA
NA	1	0.822222222222222	0.00497512437810945	NA
NA	0.601875901875902	0.741666666666667	0.0251468592429691	NA
NA	0.651666666666667	1	0.0261195872216462	NA
NA	0.624212714646836	1	0.00277777777777778	0.00811287477954145
NA	0.525006224712107	0.510416666666667	0.0118290960451977	0.0666666666666667
NA	0.41372142946217	0.533333333333333	NA	0.0999999999999999
NA	0.53125	0.503125	0.00185695337210489	0.0111111111111111
NA	0.756944444444445	1	NA	0.0277777777777778
NA	1	1	0.0339372822299652	NA
NA	0.648677248677249	1	0.00169491525423729	NA
NA	0.743172235750361	0.562715389185978	NA	0.037037037037037
NA	0.53703922340286	0.520833333333333	0.0161290322580645	0.0666666666666667
NA	0.277777777777778	1	NA	0.0277777777777778
NA	0.763668430335097	0.792124542124542	0.0152312289481737	0.0158730158730159
NA	0.771593399272876	0.561284271284271	0.00267147009171757	0.00494054254923822
NA	0.435670093795094	0.616541353383459	0.0019047619047619	0.0158333333333333
NA	0.46753996003996	1	0.0245566814138242	0.0895833333333333
NA	0.942013888888889	0.527777777777778	0.00248756218905473	0.0666666666666667
NA	0.97989417989418	0.530555555555556	0.00121212121212121	NA
NA	0.834259259259259	0.679166666666666	0.0156146179401993	NA
NA	0.621296296296296	0.668943911502895	0.0277777777777778	0.0162037037037037
NA	0.689221160103513	0.548333333333333	0.00740740740740741	0.00238095238095238
NA	0.675557644110276	0.600555555555556	0.0145781021134128	0.0375
NA	0.765256536148177	0.501360544217687	0.00853190287972896	0.00833333333333333
NA	0.703703703703704	1	0.0151515151515152	NA
NA	0.379504399618779	1	NA	0.00555555555555555
NA	0.945833333333333	1	0.0127619047619048	NA
NA	0.73655753968254	0.545860805860806	0.0708333333333333	0.0277777777777778
NA	NA	1	0.0104166666666667	NA
NA	0.972222222222222	1	NA	0.0277777777777778
NA	0.516944444444444	0.505555555555556	0.153241138511639	0.00967372134038802
NA	0.53238196988197	0.511111111111111	0.00387596899224806	0.0277777777777778
NA	0.519675925925926	0.569444444444444	0.114351851851852	0.0833333333333334
NA	0.713888888888889	1	0.0016260162601626	NA
NA	0.806772486772487	0.666666666666667	0.00238095238095238	NA
NA	0.664930555555556	1	0.110578913839783	0.0416666666666667
NA	1	1	NA	0.00512820512820513
NA	0.88868253968254	1	0.00117647058823529	0.0166666666666667
NA	0.663773148148148	1	0.0580667354661163	0.0555555555555556
